State,GamblingCategory,GamblingType,Expenditure,,,,
ACT, Racing , Oncoursebookmaker ,0.076,,,,
ACT, Racing , OncourseTotalisator ,0.185,,,,
ACT, Racing , TAB ,22.089,,,,
ACT, Gaming , Casino ,16.84,,,,
ACT, Gaming , GamingMachines ,167.454,,,,
ACT, Gaming , InstantLottery ,1.991,,,,
ACT, Gaming , Keno ,1.182,,,,
ACT, Gaming , Lotteries ,0.592,,,,
ACT, Gaming , Lotto ,19.7,,,,
ACT, Gaming , Pools ,0.061,,,,
NSW, Racing , Offcoursebookmaker ,0.031,,,,23.09
NSW, Racing , Oncoursebookmaker ,25.388,,,,636.5285714
NSW, Racing , OncourseTotalisator ,14.345,,,,118.1396
NSW, Racing , TAB ,905.783,,,,
NSW, Gaming , Casino ,1417.992,,,,
NSW, Gaming , GamingMachines ,5744.291,,,,
NSW, Gaming , InstantLottery ,43.598,,,,
NSW, Gaming , Keno ,142.771,,,,
NSW, Gaming , Lotteries ,23.359,,,,
NSW, Gaming , Lotto ,428.862,,,,
NSW, Gaming , Pools ,2.114,,,,
NSW, SportsBetting , BookmakerandotherFixedOdds ,23.616,,,,
NSW, SportsBetting , TabFixedOdds ,135.634,,,,
NSW, SportsBetting , TabToteOdds ,3.616,,,,
NT, Racing , Oncoursebookmaker ,638.914,,,,
NT, Racing , OncourseTotalisator ,1.914,,,,
NT, Racing , TAB ,11.071,,,,
NT, Gaming , Casino ,105.351,,,,
NT, Gaming , GamingMachines ,82.629,,,,
NT, Gaming , InstantLottery ,1.905,,,,
NT, Gaming , Keno ,14.208,,,,
NT, Gaming , Lotto ,39.595,,,,
NT, Gaming , Pools ,0.109,,,,
NT, SportsBetting , BookmakerandotherFixedOdds ,285.7,,,,
QLD, Racing , TAB ,339.189,,,,
QLD, Gaming , Casino ,690.337,,,,
QLD, Gaming , GamingMachines ,2182.839,,,,
QLD, Gaming , InstantLottery ,77.858,,,,
QLD, Gaming , Keno ,102.561,,,,
QLD, Gaming , Lotto ,329.19,,,,
QLD, Gaming , Pools ,1.158,,,,
QLD, SportsBetting , TabFixedOdds ,21.218,,,,
QLD, SportsBetting , TabToteOdds ,0.446,,,,
SA, Racing , Offcoursebookmaker ,0.383,,,,
SA, Racing , Oncoursebookmaker ,0.958,,,,
SA, Gaming , Casino ,147.397,,,,
SA, Gaming , GamingMachines ,725.908,,,,
SA, Gaming , InstantLottery ,9.551,,,,
SA, Gaming , Keno ,19.127,,,,
SA, Gaming , Lotto ,111.406,,,,
SA, Gaming , Pools ,0.236,,,,
SA, SportsBetting , BookmakerandotherFixedOdds ,0.28,,,,
SA, SportsBetting , TabFixedOdds ,9.384,,,,
SA, SportsBetting , TabToteOdds ,0.016,,,,
TAS, Racing , Oncoursebookmaker ,0.069,,,,
TAS, Racing , OncourseTotalisator ,0.711,,,,
TAS, Racing , TAB ,29.286,,,,
TAS, Gaming , Casino ,92.594,,,,
TAS, Gaming , GamingMachines ,113.86,,,,
TAS, Gaming , InstantLottery ,4.674,,,,
TAS, Gaming , Keno ,33.377,,,,
TAS, Gaming , Lotteries ,0.255,,,,
TAS, Gaming , Lotto ,32.502,,,,
TAS, Gaming , Pools ,0.0965,,,,
TAS, SportsBetting , TabFixedOdds ,3.136,,,,
TAS, SportsBetting , TabToteOdds ,0.016,,,,
VIC, Racing , OncourseTotalisator ,51.005,,,,
VIC, Racing , TAB ,491.73,,,,
VIC, Gaming , Casino ,1864.388,,,,
VIC, Gaming , GamingMachines ,2571.926,,,,
VIC, Gaming , InstantLottery ,15.219,,,,
VIC, Gaming , Keno ,16.738,,,,
VIC, Gaming , Lotteries ,0.685,,,,
VIC, Gaming , Lotto ,481.221,,,,
VIC, Gaming , Pools ,1.082,,,,
VIC, SportsBetting , TabFixedOdds ,258.258,,,,
VIC, SportsBetting , TabToteOdds ,1.488,,,,
WA, Racing , Oncoursebookmaker ,1.475,,,,
WA, Racing , OncourseTotalisator ,7.258,,,,
WA, Racing , TAB ,272.869,,,,
WA, Gaming , Casino ,834.534,,,,
WA, Gaming , InstantLottery ,37.714,,,,
WA, Gaming , Lotto ,327.771,,,,
WA, Gaming , MinorGaming ,23.09,,,,
WA, Gaming , Pools ,0.734,,,,
WA, SportsBetting , BookmakerandotherFixedOdds ,0.005,,,,
WA, SportsBetting , TabFixedOdds ,71.451,,,,
WA, SportsBetting , TabToteOdds ,0.33,,,,
